Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,link,wiki_link
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,/wiki/Chevron_Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,/wiki/Chipotle_Mexican_Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,/wiki/Chubb_Limited,https://en.wikipedia.org/wiki/Chubb_Limited
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,/wiki/Church_%26_Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1739940,1982,/wiki/Cigna,https://en.wikipedia.org/wiki/Cigna
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,/wiki/Cincinnati_Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,/wiki/Cintas,https://en.wikipedia.org/wiki/Cintas
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,/wiki/Cisco,https://en.wikipedia.org/wiki/Cisco
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,/wiki/Citigroup,https://en.wikipedia.org/wiki/Citigroup
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,/wiki/Citizens_Financial_Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,/wiki/Clorox,https://en.wikipedia.org/wiki/Clorox
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,/wiki/CME_Group,https://en.wikipedia.org/wiki/CME_Group
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1957-03-04,811156,1886,/wiki/CMS_Energy,https://en.wikipedia.org/wiki/CMS_Energy
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,/wiki/The_Coca-Cola_Company,https://en.wikipedia.org/wiki/The_Coca-Cola_Company
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,/wiki/Cognizant,https://en.wikipedia.org/wiki/Cognizant
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,/wiki/Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,/wiki/Comcast,https://en.wikipedia.org/wiki/Comcast
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919,/wiki/Conagra_Brands,https://en.wikipedia.org/wiki/Conagra_Brands
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,/wiki/ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1047862,1823,/wiki/Consolidated_Edison,https://en.wikipedia.org/wiki/Consolidated_Edison
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,16918,1945,/wiki/Constellation_Brands,https://en.wikipedia.org/wiki/Constellation_Brands
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999,/wiki/Constellation_Energy,https://en.wikipedia.org/wiki/Constellation_Energy
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,/wiki/The_Cooper_Companies,https://en.wikipedia.org/wiki/The_Cooper_Companies
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,/wiki/Copart,https://en.wikipedia.org/wiki/Copart
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851,/wiki/Corning_Inc.,https://en.wikipedia.org/wiki/Corning_Inc.
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454,2000,/wiki/Corpay,https://en.wikipedia.org/wiki/Corpay
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019,/wiki/Corteva,https://en.wikipedia.org/wiki/Corteva
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987,/wiki/CoStar_Group,https://en.wikipedia.org/wiki/CoStar_Group
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,909832,1976,/wiki/Costco,https://en.wikipedia.org/wiki/Costco
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989),/wiki/Coterra,https://en.wikipedia.org/wiki/Coterra
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",2024-06-24,1535527,2011,/wiki/CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",2012-03-14,1051470,1994,/wiki/Crown_Castle,https://en.wikipedia.org/wiki/Crown_Castle
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",1957-03-04,277948,1980,/wiki/CSX_Corporation,https://en.wikipedia.org/wiki/CSX_Corporation
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,26172,1919,/wiki/Cummins,https://en.wikipedia.org/wiki/Cummins
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,/wiki/CVS_Health,https://en.wikipedia.org/wiki/CVS_Health
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,313616,1969,/wiki/Danaher_Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,940944,1938,/wiki/Darden_Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,927066,1979,/wiki/DaVita,https://en.wikipedia.org/wiki/DaVita
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1725057,1992,/wiki/Dayforce,https://en.wikipedia.org/wiki/Dayforce
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",2024-03-18,910521,1973,/wiki/Deckers_Brands,https://en.wikipedia.org/wiki/Deckers_Brands
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,/wiki/Deere_%26_Company,https://en.wikipedia.org/wiki/Deere_%26_Company
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,/wiki/Delta_Air_Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971,/wiki/Devon_Energy,https://en.wikipedia.org/wiki/Devon_Energy
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,/wiki/Dexcom,https://en.wikipedia.org/wiki/Dexcom
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,/wiki/Diamondback_Energy,https://en.wikipedia.org/wiki/Diamondback_Energy
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,/wiki/Digital_Realty,https://en.wikipedia.org/wiki/Digital_Realty
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985,/wiki/Discover_Financial,https://en.wikipedia.org/wiki/Discover_Financial
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,29534,1939,/wiki/Dollar_General,https://en.wikipedia.org/wiki/Dollar_General
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,935703,1986,/wiki/Dollar_Tree,https://en.wikipedia.org/wiki/Dollar_Tree
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",2016-11-30,715957,1983,/wiki/Dominion_Energy,https://en.wikipedia.org/wiki/Dominion_Energy
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,/wiki/Domino%27s,https://en.wikipedia.org/wiki/Domino%27s
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,29905,1955,/wiki/Dover_Corporation,https://en.wikipedia.org/wiki/Dover_Corporation
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019 (1897),/wiki/Dow_Inc.,https://en.wikipedia.org/wiki/Dow_Inc.
DHI,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,/wiki/DR_Horton,https://en.wikipedia.org/wiki/DR_Horton
